  0.0027   0.9958   0.0663   0.9307   0.0747   0.9123   0.0054   0.9859   0.3512   0.6555   0.9136   0.0864   0.0199   0.9789   0.3497   0.6431   0.7700   0.2353   0.8540   0.9962   0.4658   0.6589   0.0039   0.0711   0.9974   0.0026   0.2442   0.6533   0.3488   0.0565   0.4629   0.6384
  0.0014   0.9958   0.0707   0.9248   0.0673   0.9177   0.0013   0.9918   0.3739   0.6316   0.9148   0.0950   0.0074   0.9839   0.3495   0.6425   0.7643   0.2419   0.8516   0.6040   0.9961   0.5277   0.0052   0.0682   0.9974   0.0026   0.2500   0.6447   0.3571   0.0496   0.4000   0.7091
  0.0014   0.9958   0.0740   0.9215   0.0628   0.9249   0.0013   0.9946   0.3921   0.6094   0.0171   0.9828   0.9782   0.0230   0.3550   0.6391   0.7558   0.2522   0.8537   0.7574   0.9961   0.3724   0.0052   0.0640   0.9961   0.0026   0.2353   0.6533   0.3333   0.0374   0.4343   0.8103
  0.0014   0.9957   0.0774   0.9184   0.0580   0.9292   0.0013   0.9961   0.4082   0.5929   0.0110   0.9890   0.9855   0.0157   0.3614   0.6331   0.7458   0.2634   0.8606   0.8736   0.9961   0.2426   0.0078   0.0599   0.9948   0.0026   0.2045   0.6711   0.3061   0.0328   0.5639   0.8719
  0.0014   0.9957   0.0818   0.9151   0.0535   0.9335   0.0000   0.9961   0.4222   0.5812   0.0085   0.9915   0.9892   0.0097   0.3708   0.6242   0.7351   0.2749   0.8692   0.9405   0.9948   0.1585   0.0598   0.0144   0.9895   0.0027   0.1613   0.6974   0.2812   0.0240   0.7368   0.9054
  0.0014   0.9957   0.0849   0.9121   0.0518   0.9351   0.0000   0.9987   0.4301   0.0060   0.5736   0.9927   0.9928   0.0072   0.3826   0.6121   0.7266   0.2848   0.8792   0.9806   0.9935   0.1021   0.0598   0.0827   0.9178   0.0027   0.1165   0.7632   0.1889   0.0231   0.8702   0.9161
  0.0014   0.9971   0.0881   0.9088   0.0487   0.9381   0.0000   0.9987   0.4356   0.0048   0.9940   0.5720   0.9940   0.0060   0.3954   0.5964   0.7201   0.2939   0.9378   0.9535   0.9922   0.0569   0.0680   0.9465   0.0562   0.0027   0.0763   0.8026   0.1250   0.0227   0.9427   0.9134
  0.0014   0.9971   0.0886   0.9083   0.0457   0.9411   0.0000   0.9988   0.0036   0.9964   0.4371   0.5744   0.9952   0.0048   0.4114   0.5767   0.7124   0.3012   0.9779   0.9394   0.9935   0.9906   0.0056   0.0861   0.0143   0.0041   0.0563   0.8684   0.0739   0.0573   0.9740   0.8613
  0.0014   0.9986   0.0916   0.9054   0.0455   0.9412   0.0012   0.9988   0.0024   0.9976   0.4325   0.5833   0.9953   0.0048   0.4272   0.5523   0.7088   0.3070   0.9890   0.9509   0.9946   0.9922   0.0084   0.0602   0.0091   0.0055   0.0407   0.8974   0.0541   0.1613   0.9805   0.7901
  0.0014   0.9986   0.0920   0.9037   0.0455   0.9442   0.0012   0.9988   0.0024   0.9976   0.4264   0.6016   0.9964   0.0024   0.4454   0.5208   0.7055   0.3112   0.9931   0.9959   0.9606   0.9897   0.0223   0.0318   0.0069   0.0091   0.0341   0.9250   0.0449   0.2899   0.9810   0.7193
  0.0014   0.9986   0.0947   0.9022   0.0425   0.9442   0.0012   0.9988   0.0012   0.9976   0.4159   0.6340   0.9988   0.0024   0.4664   0.4683   0.7030   0.3145   0.9945   0.9973   0.9661   0.9832   0.0279   0.0139   0.0157   0.0078   0.0258   0.9268   0.0407   0.4194   0.9808   0.6739
  0.0014   0.9986   0.0950   0.9022   0.0425   0.9458   0.0012   0.0012   0.9988   0.9988   0.4081   0.7131   0.9988   0.5143   0.0012   0.3443   0.7012   0.3161   0.9972   0.9973   0.9664   0.9729   0.0320   0.0250   0.0104   0.0091   0.0240   0.9286   0.0443   0.5079   0.9835   0.6429
  0.0014   0.9986   0.0951   0.9019   0.0425   0.9458   0.0012   0.0012   0.9988   0.9988   0.4015   0.9988   0.9988   0.5856   0.0012   0.0012   0.7008   0.3161   0.9972   0.9972   0.9677   0.9677   0.0334   0.0334   0.0091   0.0091   0.0234   0.9294   0.0455   0.5231   0.9833   0.6250
  0.0014   0.9986   0.0951   0.9019   0.0425   0.9458   0.0012   0.0012   0.9988   0.9988   0.4015   0.9988   0.9988   0.5856   0.0012   0.0012   0.7008   0.3161   0.9972   0.9972   0.9677   0.9677   0.0334   0.0334   0.0091   0.0091   0.0234   0.9294   0.0455   0.5231   0.9833   0.6250
  0.0014   0.9986   0.0950   0.9022   0.0425   0.9458   0.0012   0.0012   0.9988   0.9988   0.4084   0.6938   0.9988   0.5012   0.0024   0.3747   0.7012   0.3161   0.9972   0.9973   0.9664   0.9767   0.0320   0.0236   0.0104   0.0091   0.0241   0.9277   0.0439   0.4921   0.9803   0.6429
  0.0014   0.9986   0.0947   0.9023   0.0455   0.9443   0.0012   0.9988   0.0024   0.9976   0.4206   0.6212   0.9965   0.0036   0.4592   0.4873   0.7038   0.3132   0.9945   0.9973   0.9635   0.9858   0.0251   0.0111   0.0223   0.0091   0.0267   0.9259   0.0480   0.3906   0.9809   0.6875
  0.0014   0.9986   0.0918   0.9052   0.0455   0.9443   0.0012   0.9988   0.0024   0.9976   0.4295   0.5912   0.9953   0.0048   0.4381   0.5346   0.7076   0.3099   0.9917   0.9564   0.9946   0.9910   0.0168   0.0426   0.0052   0.0096   0.0368   0.8987   0.0508   0.2237   0.9810   0.7500
  0.0014   0.9971   0.0914   0.9056   0.0456   0.9411   0.0000   0.9988   0.0036   0.9964   0.4363   0.5779   0.9940   0.0072   0.4201   0.5652   0.7109   0.3033   0.9848   0.9424   0.9897   0.9892   0.0028   0.0836   0.0117   0.0055   0.0397   0.8701   0.0680   0.0866   0.9758   0.8440
  0.0014   0.9971   0.0883   0.9087   0.0487   0.9382   0.0000   0.9988   0.4352   0.0060   0.9940   0.5716   0.9892   0.0133   0.4031   0.5873   0.7184   0.2955   0.9682   0.9333   0.9896   0.0388   0.1172   0.9075   0.0588   0.0041   0.0738   0.8158   0.1176   0.0327   0.9517   0.9061
  0.0014   0.9957   0.0850   0.9119   0.0518   0.9351   0.0000   0.9987   0.4327   0.0060   0.9939   0.5736   0.9733   0.0280   0.3887   0.6060   0.7253   0.2852   0.8712   1.0000   0.9778   0.0975   0.0681   0.0737   0.9272   0.0054   0.1176   0.7632   0.1957   0.0231   0.8692   0.9238
