  0.1893      -15.052800  -14.690300  -13.978600  -13.848700   -6.684700   -6.330500   -5.602300   -5.145800   -4.957100   -4.789100   -3.800700   -3.790100   -3.228000   -3.198600   -2.899100   -2.502900   -2.058100   -1.897600    0.756800    1.015200    1.204900    1.404800    1.539800    2.027500    2.366200    2.896500    5.206900    5.253300    5.859400    6.274600    6.533000    7.078500
  0.2020      -15.157200  -14.782200  -14.020300  -13.890900   -6.745000   -6.351100   -5.487000   -5.069400   -4.826600   -4.645900   -3.711300   -3.697900   -3.318500   -3.290500   -2.838700   -2.441500   -1.967300   -1.784700    0.763000    1.067900    1.185000    1.433800    1.464500    1.932900    2.285500    2.797200    5.077600    5.118900    5.717800    6.231100    6.419200    7.038700
  0.2146      -15.257200  -14.870300  -14.060600  -13.931600   -6.822400   -6.392000   -5.351400   -4.977500   -4.695300   -4.501000   -3.620800   -3.602600   -3.407600   -3.380200   -2.782000   -2.385400   -1.877200   -1.669600    0.786100    1.124500    1.173800    1.405700    1.469500    1.847300    2.200700    2.692800    4.951700    4.990800    5.581900    6.144700    6.314900    6.962700
  0.2272      -15.352000  -14.953900  -14.098900  -13.970400   -6.908600   -6.446800   -5.203700   -4.873500   -4.564700   -4.355000   -3.530900   -3.507800   -3.491700   -3.466400   -2.731500   -2.337800   -1.792200   -1.556600    0.827100    1.169200    1.183900    1.369200    1.510600    1.773500    2.112800    2.584800    4.831300    4.869600    5.453900    6.026000    6.204800    6.821400
  0.2398      -15.441000  -15.032300  -14.135000  -14.006900   -6.997600   -6.509700   -5.050100   -4.761900   -4.435800   -4.208700   -3.578600   -3.549600   -3.438200   -3.408000   -2.689700   -2.301700   -1.715600   -1.449600    0.885800    1.168000    1.245000    1.360700    1.555700    1.713900    2.023200    2.474700    4.717300    4.756100    5.334200    5.882200    6.081600    6.629000
  0.2524      -15.523300  -15.105000  -14.168600  -14.040700   -7.085400   -6.575900   -4.895200   -4.646800   -4.309100   -4.062500   -3.656900   -3.626700   -3.349100   -3.311900   -2.659100   -2.279900   -1.649600   -1.351800    0.960900    1.170700    1.306400    1.380900    1.603300    1.670400    1.933400    2.364400    4.610300    4.650500    5.222800    5.710800    5.957200    6.450100
  0.2651      -15.598500  -15.171500  -14.199300  -14.071700   -7.168900   -6.641700   -4.743000   -4.531900   -4.185200   -3.917000   -3.729700   -3.698000   -3.262500   -3.218400   -2.641300   -2.274800   -1.595200   -1.265200    1.049400    1.181200    1.366800    1.424900    1.644000    1.651600    1.845300    2.255900    4.510200    4.553400    5.118500    5.516600    5.841600    6.224900
  0.2777      -15.666000  -15.231100  -14.227000  -14.099500   -7.246100   -6.704600   -4.597000   -4.420700   -4.064700   -3.796000   -3.772400   -3.762500   -3.180200   -3.129100   -2.637400   -2.287800   -1.552200   -1.191200    1.147000    1.202900    1.424800    1.485700    1.634600    1.696600    1.763200    2.151400    4.416500    4.464900    5.018000    5.318200    5.732900    6.029100
  0.2903      -15.725400  -15.283600  -14.251400  -14.124100   -7.315500   -6.762300   -4.460600   -4.316300   -3.948500   -3.854900   -3.819700   -3.629400   -3.103800   -3.046000   -2.647400   -2.319100   -1.519500   -1.129900    1.229000    1.255300    1.478900    1.556200    1.641700    1.673400    1.752300    2.053600    4.328100    4.385600    4.913200    5.140400    5.620300    5.857400
  0.3029      -15.776200  -15.328600  -14.272300  -14.145100   -7.375900   -6.813300   -4.337200   -4.221900   -3.905900   -3.868900   -3.838000   -3.488200   -3.034900   -2.970800   -2.670000   -2.368300   -1.495700   -1.080900    1.270800    1.354700    1.527700    1.603100    1.623800    1.668700    1.792300    1.965000    4.243600    4.315900    4.794000    5.007000    5.493100    5.731200
  0.3155      -15.818300  -15.365800  -14.289600  -14.162600   -7.426300   -6.856500   -4.230300   -4.140200   -3.948300   -3.909900   -3.735300   -3.349400   -2.975400   -2.905700   -2.702600   -2.434100   -1.479000   -1.043300    1.313800    1.449300    1.540000    1.569900    1.665900    1.728000    1.829000    1.888100    4.162300    4.256500    4.670000    4.919000    5.360200    5.647200
  0.3282      -15.851300  -15.395000  -14.303200  -14.176200   -7.466100   -6.890800   -4.143100   -4.073600   -3.981700   -3.942100   -3.643900   -3.213900   -2.927000   -2.852500   -2.741000   -2.514500   -1.467900   -1.015700    1.354600    1.488500    1.531100    1.603800    1.695400    1.795000    1.825100    1.859700    4.086200    4.208000    4.564600    4.859700    5.242200    5.591000
  0.3408      -15.875000  -15.416000  -14.312900  -14.186000   -7.494900   -6.915800   -4.078500   -4.024400   -4.005900   -3.965300   -3.569100   -3.082600   -2.891200   -2.813100   -2.779000   -2.607200   -1.461000   -0.997000    1.388400    1.450100    1.594400    1.628600    1.719500    1.779000    1.851100    1.882200    4.021600    4.171800    4.489300    4.819300    5.152500    5.554100
  0.3535      -15.889300  -15.428600  -14.318800  -14.192000   -7.512300   -6.931000   -4.038700   -4.020400   -3.994200   -3.979300   -3.518500   -2.957900   -2.869200   -2.809100   -2.788900   -2.708100   -1.457300   -0.986200    1.410700    1.426400    1.634600    1.643400    1.735800    1.750900    1.888000    1.896200    3.977500    4.149200    4.445400    4.795000    5.097200    5.532600
  0.3660      -15.894000  -15.432800  -14.320800  -14.193900   -7.518100   -6.936000   -4.025300   -4.025300   -3.984000   -3.984000   -3.500400   -2.861700   -2.861700   -2.836100   -2.780700   -2.780700   -1.456100   -0.982700    1.418400    1.418400    1.648300    1.648300    1.741500    1.741500    1.900900    1.900900    3.961800    4.141500    4.431000    4.786800    5.078600    5.525600
  0.3660      -15.894000  -15.432800  -14.320800  -14.193900   -7.518100   -6.936000   -4.025300   -4.025300   -3.984000   -3.984000   -3.500400   -2.861700   -2.861700   -2.836100   -2.780700   -2.780700   -1.456100   -0.982700    1.418400    1.418400    1.648300    1.648300    1.741500    1.741500    1.900900    1.900900    3.961800    4.141500    4.431000    4.786800    5.078600    5.525600
